"Account ID","Parent Account","Account Name","Account Owner","Owner Role","Customer Flag","Calculated ARR","FY26 SOY ARR","# of Open Opportunities","Count of Engaged Opportunities","Open Pipeline","Employee Range","ZI - Eng Count","Annual Revenue","Region","Geo","Clearbit Industry Group","Current FY Segmentation","Active Product Classification","Total Close Factor Score","Close Factor Tier","GitLab Flag"
"0013t00001XiZNg","","WEX","Caitlin Moran","AE East","Prospect","0.00","","0","0","0.00","5,000 - 10,000","2094","1559869000","East","Americas","Diversified Financials","Enterprise","","20","High","0"
"0013t000029V2Eh","","All Raise","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","10 - 20","2","1000000","West","Americas","Diversified Financials","Self-Service","","","","0"
"0013t00001XiZNn","","overjet.ai","Brock Perko","","Prospect","0.00","","0","0","0.00","100 - 250","90","21006000","East","Americas","Software & Services","SMB","","","","0"
"0013t000029V2Ei","","HVMN Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","20 - 50","1","10000000","West","Americas","Food, Beverage & Tobacco","Self-Service","","","","0"
"0013t00001XiZNq","","Revolut","Dan Ellis","AE EMEA","Prospect","0.00","","0","0","0.00","Over 10,000","1519","78704800","Northern Europe","EMEA","Diversified Financials","Enterprise","","18","High","0"
"0013t000029V2Ej","","TuneIn Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","250 - 500","77","1000000","West","Americas","Software & Services","SMB","","","","0"
"0013t00001XiZNr","","Trend Micro Incorporated","Harry Charlesworth","AE APAC","Prospect","0.00","","0","0","0.00","5,000 - 10,000","2704","1746000000","South-eastern Asia","APAC","Commercial & Professional Services","Enterprise","","","","0"
"0013t000029V2Ek","","Observable Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","20 - 50","19","1000000","West","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZNs","","Rivian","John Sepassi","AE West","Prospect","0.00","","0","0","0.00","Over 10,000","4037","1000000","West","Americas","Automobiles & Components","Enterprise","","33","High","1"
"0013t000029V2El","","Apprentice FS Inc","Brock Perko","","Prospect","0.00","","0","0","0.00","100 - 250","32","10000000","East","Americas","Pharmaceuticals, Biotechnology & Life Sciences","Self-Service","","","","0"
"0013t00001XiZNz","","Salesforce.com","Owen Brennan","AE West","Customer","2094000.00","2094000","1","1","0.00","Over 10,000","16895","21250000000","West","Americas","Software & Services","Strategic","Search Only","29","High","1"
"0013t000029V2Em","","CloudBolt Software Inc","Brock Perko","","Prospect","0.00","","0","0","0.00","100 - 250","84","10000000","East","Americas","Software & Services","SMB","","","","0"
"0013t00001XiZO3","","lunar.app","Dan Ellis","AE EMEA","Customer","70800.00","53100","1","1","17700.00","500 - 1,000","84","10000000","Northern Europe","EMEA","Diversified Financials","SMB","Cody + Search","","","0"
"0013t000029V2En","","Levels Health Inc.","Brock Perko","","Prospect","0.00","","0","0","0.00","50 - 100","1","10000000","East","Americas","Health Care Equipment & Services","Self-Service","","","","0"
"0013t00001XiZOX","","Atos","James Ghaedi","AE EMEA","Prospect","0.00","","0","0","0.00","Over 10,000","7856","12700000000","Western Europe","EMEA","Software & Services","Strategic","","","","1"
"0013t000029V2Eo","","OpenPhone","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","50 - 100","74","1000000","West","Americas","Telecommunication Services","SMB","","","","0"
"0013t00001XiZOZ","","Chanjet Information Technology Company Limited","Bill Kolman","AE East","Prospect","0.00","","0","0","0.00","1,000 - 5,000","4","100000000","Eastern Asia","APAC","Software & Services","Self-Service","","","","0"
"0013t000029V2Ep","","Mozart Data Inc","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","20 - 50","5","4202000","West","Americas","Software & Services","Self-Service","","","","0"
"0013t00001XiZOa","","DESCRIPT, INC","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","109","10000000","West","Americas","Software & Services","SMB","","","","0"
"0013t000029V2Eq","","Isovalent","Jon Kishpaugh","Regional Sales Director, West","Prospect","0.00","","0","0","0.00","100 - 250","72","10000000","West","Americas","Software & Services","SMB","","","","0"
